pattern,field,category,priority,amount_condition
Sharesies,merchant_normalised,Investments,5,>50
Sharesies,merchant_normalised,Savings,5,
STUDYLINK,description_raw,Income: Studylink,5,>100
VICTORIA UNIVERSI,description_raw,Income: Salary,5,>500
rent,description_raw,Housing: Rent,5,>100
BURKE BA & WE,description_raw,Income: Family,5,
New World,merchant_normalised,Groceries,10,>20
Countdown,merchant_normalised,Groceries,10,>20
Bay Foodmarket,merchant_normalised,Groceries,10,>20
Cheque INTERNET XFR,description_raw,Slush Fund,10,
New World,merchant_normalised,Eating Out,15,<=20
Night 'n Day,merchant_normalised,Eating Out,15,
Willis Superette,merchant_normalised,Eating Out,15,
Parade Dairy,merchant_normalised,Eating Out,15,
Hy - Grade Dairy,merchant_normalised,Eating Out,15,
Subway,merchant_normalised,Eating Out,15,
TJ Katsu,merchant_normalised,Eating Out,15,
Hey Sushi,merchant_normalised,Eating Out,15,
Sushi,description_raw,Eating Out,15,
Chopsticks,merchant_normalised,Eating Out,15,
Zelati,merchant_normalised,Eating Out,15,
Mother Of Coffee,merchant_normalised,Eating Out,15,
Mojo Coffee,merchant_normalised,Eating Out,15,
Raglan Roast,merchant_normalised,Eating Out,15,
Eva's Garage,merchant_normalised,Eating Out,15,
Tank Juice,merchant_normalised,Eating Out,15,
Twisted dinner,description_raw,Savings,15,<5
Snapper,merchant_normalised,Transport: Bus,10,<20
Z Energy,merchant_normalised,Transport: Fuel,10,>20
Z Energy,merchant_normalised,Eating Out,10,
Backblaze,merchant_normalised,Services: Cloud Storage,10,<20
Amazon Web Services,merchant_normalised,Services: AWS,10,<10
YNAB,description_raw,Services: Subscription,10,<30
Faultline,merchant_normalised,Fitness: Gym,10,>50
Laundry,description_raw,Household: Laundry,10,<15
Bargain Chemist,merchant_normalised,Health: Pharmacy,10,
Ferret Bookshop,merchant_normalised,Shopping: Books,15,
Pegasus Books,merchant_normalised,Shopping: Books,15,
Daiso,merchant_normalised,Shopping: Household,15,<50
AFTERPAY,description_raw,Shopping: Afterpay,20,
Afterpay,merchant_normalised,Shopping: Afterpay,20,